Timestamp,Latitude,Longitude,Speed,Road Type,Vehicle Type,Vehicle Count,Congestion Score
2025-01-01 00:00:00,12.974908023769473,77.53702658576772,16,Service Road,Truck,139,24.52941176470588
2025-01-01 01:00:00,13.090142861281983,77.60838018947567,44,Highway,Bike,72,1.6
2025-01-01 02:00:00,13.04639878836228,77.67458916717528,64,Main Road,Truck,151,4.6461538461538465
2025-01-01 03:00:00,13.019731696839408,77.64644497728192,23,Service Road,Bike,163,20.375
2025-01-01 04:00:00,12.931203728088487,77.66131222957229,19,Main Road,Truck,132,13.2
2025-01-01 05:00:00,12.93119890406724,77.63175667334214,89,Highway,Truck,167,1.8555555555555556
2025-01-01 06:00:00,12.91161672243364,77.63845531290357,25,Main Road,Car,189,14.538461538461538
2025-01-01 07:00:00,13.073235229154987,77.66983913031306,63,Service Road,Truck,89,4.171875
2025-01-01 08:00:00,13.020223002348642,77.54993360177184,98,Service Road,Truck,193,5.848484848484848
2025-01-01 09:00:00,13.041614515559209,77.59788499272862,86,Main Road,Car,163,3.7471264367816093
2025-01-01 10:00:00,12.904116898859161,77.54424188836393,79,Highway,Bike,87,1.0875
2025-01-01 11:00:00,13.093981970432399,77.69753360159933,53,Main Road,Bike,99,3.6666666666666665
2025-01-01 12:00:00,13.066488528160084,77.68881186793733,82,Highway,Truck,185,2.2289156626506026
2025-01-01 13:00:00,12.942467822135656,77.5078853622737,54,Main Road,Bike,36,1.309090909090909
2025-01-01 14:00:00,12.93636499344142,77.64111503450314,65,Service Road,Truck,70,3.1818181818181817
2025-01-01 15:00:00,12.936680901970687,77.68504966348314,93,Highway,Car,191,2.0319148936170213
2025-01-01 16:00:00,12.960848448591907,77.53611506902547,91,Highway,Car,120,1.3043478260869565
2025-01-01 17:00:00,13.004951286326447,77.61358904611053,66,Highway,Truck,142,2.1194029850746268
2025-01-01 18:00:00,12.986389003728423,77.68309765951761,30,Service Road,Car,134,12.96774193548387
2025-01-01 19:00:00,12.958245828039608,77.50678919571716,77,Main Road,Car,198,5.076923076923077
2025-01-01 20:00:00,13.022370578944475,77.63948405344937,59,Service Road,Truck,64,3.2
2025-01-01 21:00:00,12.927898772130408,77.5594698014745,42,Highway,Truck,21,0.4883720930232558
2025-01-01 22:00:00,12.958428929707043,77.68487923907531,16,Main Road,Car,100,11.764705882352942
2025-01-01 23:00:00,12.973272368658739,77.69421164903308,79,Service Road,Bike,148,5.550000000000001
2025-01-02 00:00:00,12.991213996843408,77.68885329782269,24,Highway,Bike,20,0.8
2025-01-02 01:00:00,13.057035192278603,77.59484284333149,91,Highway,Truck,50,0.5434782608695652
2025-01-02 02:00:00,12.939934756431672,77.67240853019787,41,Service Road,Truck,171,12.214285714285714
2025-01-02 03:00:00,13.002846887682722,77.66890987970702,84,Service Road,Bike,163,5.752941176470588
2025-01-02 04:00:00,13.018482913772408,77.56382009464865,29,Service Road,Car,111,11.100000000000001
2025-01-02 05:00:00,12.909290082544,77.66578309483013,97,Highway,Bike,92,0.9387755102040817
2025-01-02 06:00:00,13.021508970380287,77.5074015269431,24,Service Road,Bike,133,15.96
2025-01-02 07:00:00,12.934104824737458,77.61925397569641,57,Highway,Bike,143,2.4655172413793105
2025-01-02 08:00:00,12.913010318597056,77.54600176745754,80,Service Road,Bike,123,4.555555555555555
2025-01-02 09:00:00,13.089777107450667,77.52411337715546,30,Highway,Truck,89,2.870967741935484
2025-01-02 10:00:00,13.093126406614912,77.51539064032585,51,Highway,Truck,8,0.15384615384615385
2025-01-02 11:00:00,13.061679469623291,77.63925775517563,35,Main Road,Car,75,4.166666666666667
2025-01-02 12:00:00,12.960922753834675,77.56797499275362,23,Service Road,Car,158,19.75
2025-01-02 13:00:00,12.919534422801277,77.64495335430576,66,Service Road,Car,115,5.149253731343284
2025-01-02 14:00:00,13.036846605302431,77.51307126815979,46,Highway,Car,54,1.148936170212766
2025-01-02 15:00:00,12.98803049874792,77.56305806756612,67,Highway,Bike,144,2.1176470588235294
2025-01-02 16:00:00,12.924407646968955,77.60789825847507,30,Highway,Truck,99,3.193548387096774
2025-01-02 17:00:00,12.999035382022255,77.65814463296779,91,Main Road,Truck,96,2.0869565217391304
2025-01-02 18:00:00,12.906877704223044,77.56375050058641,78,Main Road,Car,69,1.7468354430379747
2025-01-02 19:00:00,13.081864080415755,77.62517827528741,12,Highway,Car,51,3.923076923076923
2025-01-02 20:00:00,12.951755996320003,77.67719554964724,96,Service Road,Bike,185,5.721649484536083
2025-01-02 21:00:00,13.032504456870797,77.62317263763646,99,Service Road,Bike,110,3.3000000000000003
2025-01-02 22:00:00,12.962342215217882,77.54659189495072,46,Main Road,Car,134,5.702127659574468
2025-01-02 23:00:00,13.004013604235562,77.5048801563113,97,Main Road,Truck,110,2.2448979591836733
2025-01-03 00:00:00,13.009342055868656,77.67401977478019,58,Highway,Truck,28,0.4745762711864407
2025-01-03 01:00:00,12.936970891105105,77.50425388217008,28,Service Road,Truck,8,0.8275862068965517
2025-01-03 02:00:00,13.09391692555291,77.67494033453684,98,Highway,Car,112,1.1313131313131313
2025-01-03 03:00:00,13.055026564672223,77.60578742680545,94,Main Road,Truck,23,0.4842105263157895
2025-01-03 04:00:00,13.087899788312837,77.68781353970259,21,Service Road,Bike,158,21.545454545454547
2025-01-03 05:00:00,13.07896547008553,77.65975664715474,70,Service Road,Bike,44,1.8591549295774645
2025-01-03 06:00:00,13.019579995762218,77.69958682210667,50,Main Road,Car,54,2.1176470588235294
2025-01-03 07:00:00,13.084374847004623,77.57014236309034,42,Highway,Bike,175,4.069767441860465
2025-01-03 08:00:00,12.917698500410385,77.65343765778623,59,Highway,Car,79,1.3166666666666667
2025-01-03 09:00:00,12.93919657248383,77.58038618272185,77,Service Road,Truck,199,7.653846153846153
2025-01-03 10:00:00,12.909045457782108,77.59597512406079,80,Main Road,Truck,16,0.3950617283950617
2025-01-03 11:00:00,12.965066066152653,77.62550109264367,95,Service Road,Truck,199,6.21875
2025-01-03 12:00:00,12.977735457937897,77.67473542283727,42,Main Road,Bike,31,1.441860465116279
2025-01-03 13:00:00,12.954269806354779,77.69681669383986,90,Highway,Car,117,1.2857142857142858
2025-01-03 14:00:00,13.065747501830385,77.65365468277291,33,Main Road,Truck,186,10.941176470588236
2025-01-03 15:00:00,12.971350665338718,77.58355335643347,70,Highway,Car,198,2.788732394366197
2025-01-03 16:00:00,12.956186901937476,77.58427140045542,70,Main Road,Truck,53,1.4929577464788732
2025-01-03 17:00:00,13.00853921663165,77.64751646031777,37,Service Road,Bike,148,11.68421052631579
2025-01-03 18:00:00,12.928184844994952,77.54775542915367,67,Highway,Bike,134,1.9705882352941178
2025-01-03 19:00:00,13.060439396150807,77.52209482262629,52,Service Road,Car,64,3.6226415094339623
2025-01-03 20:00:00,12.914910128735954,77.57092443152816,50,Service Road,Bike,186,10.941176470588236
2025-01-03 21:00:00,13.097377387320103,77.55744779833081,48,Highway,Bike,34,0.6938775510204082
2025-01-03 22:00:00,13.054448953859332,77.55926162409119,95,Highway,Car,88,0.9166666666666666
2025-01-03 23:00:00,12.939743136306834,77.54672155020998,58,Service Road,Truck,170,8.64406779661017
2025-01-04 00:00:00,12.901104423424721,77.50841863792728,26,Service Road,Bike,32,3.5555555555555554
2025-01-04 01:00:00,13.063092285690967,77.50357478694669,79,Service Road,Car,29,1.0875
2025-01-04 02:00:00,13.041371468769523,77.6975444779472,79,Service Road,Bike,100,3.75
2025-01-04 03:00:00,13.045801433608197,77.58555462674717,74,Highway,Bike,129,1.72
2025-01-04 04:00:00,13.054254069337189,77.57686532943194,83,Highway,Bike,14,0.16666666666666666
2025-01-04 05:00:00,12.914808930346819,77.63592945653862,94,Service Road,Bike,192,6.063157894736842
2025-01-04 06:00:00,12.971693145708855,77.543650777573,14,Main Road,Car,46,6.133333333333334
